Occurrence,POINT_X,POINT_Y
presence,249250,6596750
presence,249750,6596750
presence,250250,6594750
presence,250250,6596750
presence,250250,6597250
presence,251250,6595250
presence,251750,6595250
presence,251750,6595750
presence,251750,6596250
presence,251750,6596750
presence,252250,6583750
presence,252250,6584250
presence,252250,6584750
presence,252250,6600250
presence,252250,6601750
presence,252750,6584250
presence,252750,6584750
presence,252750,6585250
presence,252750,6599750
presence,252750,6601250
presence,252750,6601750
presence,252750,6602250
presence,252750,6604750
presence,253250,6580750
presence,253250,6581250
presence,253250,6587250
presence,253250,6600250
presence,253250,6601750
presence,253250,6602250
presence,253250,6605250
presence,253750,6573750
presence,253750,6579750
presence,253750,6580250
presence,253750,6581750
presence,253750,6583750
presence,253750,6599250
presence,253750,6599750
presence,253750,6601250
presence,253750,6604250
presence,253750,6604750
presence,253750,6605250
presence,254250,6572750
presence,254250,6573250
presence,254250,6574250
presence,254250,6574750
presence,254250,6583750
presence,254250,6597250
presence,254250,6599750
presence,254250,6604250
presence,254750,6572250
presence,254750,6573250
presence,254750,6575250
presence,254750,6581250
presence,254750,6581750
presence,254750,6588750
presence,254750,6591750
presence,254750,6597250
presence,254750,6603750
presence,254750,6604250
presence,255250,6597250
presence,255250,6600250
presence,255750,6593250
presence,255750,6599750
presence,255750,6601250
presence,256250,6597750
presence,256250,6598250
presence,256250,6598750
presence,256250,6600250
presence,256750,6576750
presence,256750,6579250
presence,256750,6595750
presence,256750,6597250
presence,256750,6597750
presence,256750,6601750
presence,257250,6572750
presence,257250,6573250
presence,257250,6578750
presence,257250,6585750
presence,257250,6588250
presence,257250,6590250
presence,257250,6593750
presence,257250,6597750
presence,257750,6571250
presence,257750,6577250
presence,257750,6579750
presence,257750,6593750
presence,257750,6599250
presence,258250,6558750
presence,258250,6559250
presence,258250,6569250
presence,258250,6573250
presence,258250,6573750
presence,258250,6585250
presence,258250,6591250
presence,258250,6599250
presence,258750,6571250
presence,258750,6578750
presence,258750,6583750
presence,258750,6594750
presence,259250,6575250
presence,259250,6594750
presence,259750,6568750
presence,259750,6569250
presence,259750,6571750
presence,259750,6582250
presence,259750,6583250
presence,259750,6588750
presence,260250,6566750
presence,260250,6568750
presence,260250,6569250
presence,260250,6573250
presence,260250,6581750
presence,260750,6565250
presence,260750,6568250
presence,260750,6569750
presence,260750,6588750
presence,260750,6596250
presence,260750,6596750
presence,261250,6558750
presence,261250,6559750
presence,261250,6564250
presence,261250,6566750
presence,261250,6569250
presence,261250,6569750
presence,261250,6575750
presence,261250,6582250
presence,261250,6582750
presence,261250,6583250
presence,261250,6583750
presence,261250,6595750
presence,261250,6597250
presence,261750,6559250
presence,261750,6566250
presence,261750,6581750
presence,261750,6582750
presence,261750,6583250
presence,261750,6583750
presence,261750,6586750
presence,261750,6593750
presence,262250,6555750
presence,262250,6556750
presence,262250,6557250
presence,262250,6583750
presence,262250,6588250
presence,262750,6555250
presence,262750,6555750
presence,262750,6556250
presence,262750,6557750
presence,262750,6586250
presence,262750,6592750
presence,263250,6553250
presence,263250,6555250
presence,263250,6555750
presence,263250,6560750
presence,263250,6561250
presence,263250,6566750
presence,263250,6592250
presence,263250,6593250
presence,263250,6593750
presence,263250,6595750
presence,263250,6608750
presence,263750,6555250
presence,263750,6555750
presence,263750,6556250
presence,263750,6557250
presence,263750,6580750
presence,263750,6599250
presence,263750,6604250
presence,264250,6552750
presence,264250,6553250
presence,264250,6554750
presence,264250,6556750
presence,264250,6557250
presence,264250,6560250
presence,264250,6586750
presence,264250,6596750
presence,264250,6602750
presence,264250,6604250
presence,264250,6604750
presence,264250,6605250
presence,264250,6605750
presence,264750,6552750
presence,264750,6554750
presence,264750,6556250
presence,264750,6557250
presence,264750,6581250
presence,264750,6591250
presence,264750,6594250
presence,264750,6597750
presence,264750,6601750
presence,265250,6553250
presence,265250,6554250
presence,265250,6562750
presence,265250,6563250
presence,265250,6564750
presence,265250,6568250
presence,265250,6581750
presence,265250,6586750
presence,265250,6592250
presence,265250,6594750
presence,265250,6597250
presence,265250,6597750
presence,265250,6599750
presence,265250,6608750
presence,265250,6609250
presence,265750,6553250
presence,265750,6597250
presence,265750,6598250
presence,265750,6598750
presence,265750,6601750
presence,265750,6605750
presence,265750,6610250
presence,266250,6552750
presence,266250,6553250
presence,266250,6562250
presence,266250,6568750
presence,266250,6573250
presence,266250,6591250
presence,266250,6601250
presence,266250,6601750
presence,266250,6608750
presence,266750,6552250
presence,266750,6552750
presence,266750,6553250
presence,266750,6553750
presence,266750,6558750
presence,266750,6559750
presence,266750,6570250
presence,266750,6577250
presence,266750,6597750
presence,266750,6602250
presence,266750,6606250
presence,267250,6545250
presence,267250,6550750
presence,267250,6551750
presence,267250,6552250
presence,267250,6552750
presence,267250,6553250
presence,267250,6562750
presence,267250,6567250
presence,267250,6570750
presence,267250,6593750
presence,267250,6594250
presence,267250,6597250
presence,267250,6597750
presence,267750,6544750
presence,267750,6545250
presence,267750,6545750
presence,267750,6550750
presence,267750,6551750
presence,267750,6552750
presence,267750,6553750
presence,267750,6555250
presence,267750,6557750
presence,267750,6566750
presence,267750,6592750
presence,267750,6603250
presence,268250,6551750
presence,268250,6553750
presence,268250,6554250
presence,268250,6562250
presence,268250,6615750
presence,268750,6552250
presence,268750,6555750
presence,268750,6557250
presence,268750,6559250
presence,268750,6570750
presence,268750,6604750
presence,268750,6605250
presence,268750,6614750
presence,268750,6615250
presence,269250,6614250
presence,269250,6614750
presence,269750,6550750
presence,269750,6609250
presence,269750,6614750
presence,270250,6570750
presence,270250,6575750
presence,270250,6583250
presence,270250,6583750
presence,270250,6585750
presence,270250,6596250
presence,270250,6603750
presence,270250,6614250
presence,270750,6547250
presence,270750,6565250
presence,270750,6579750
presence,270750,6593750
presence,270750,6596250
presence,270750,6609750
presence,271250,6550250
presence,271250,6550750
presence,271250,6551250
presence,271250,6553250
presence,271250,6553750
presence,271250,6554250
presence,271250,6565750
presence,271250,6567250
presence,271250,6567750
presence,271750,6550250
presence,271750,6568750
presence,271750,6593750
presence,271750,6611750
presence,271750,6616250
presence,271750,6616750
presence,272250,6550250
presence,272250,6577750
presence,272250,6593750
presence,272250,6602750
presence,272250,6603250
presence,272750,6545750
presence,272750,6546250
presence,272750,6546750
presence,272750,6547250
presence,272750,6547750
presence,272750,6551250
presence,272750,6575250
presence,272750,6581750
presence,272750,6593250
presence,272750,6593750
presence,273250,6545250
presence,273250,6546750
presence,273250,6547250
presence,273250,6575250
presence,273250,6577250
presence,273250,6594750
presence,273250,6618250
presence,273750,6548250
presence,273750,6550750
presence,273750,6565750
presence,273750,6588250
presence,273750,6607750
presence,273750,6608250
presence,273750,6618750
presence,273750,6620750
presence,274250,6547750
presence,274250,6553250
presence,274250,6579250
presence,274250,6580250
presence,274250,6596250
presence,274250,6605250
presence,274750,6548250
presence,274750,6552250
presence,274750,6552750
presence,274750,6576250
presence,274750,6579250
presence,274750,6579750
presence,274750,6592250
presence,274750,6592750
presence,274750,6620250
presence,274750,6620750
presence,275250,6547750
presence,275250,6548250
presence,275250,6549250
presence,275250,6554250
presence,275250,6586250
presence,275250,6586750
presence,275250,6604250
presence,275250,6618750
presence,275250,6619750
presence,275250,6621250
presence,275750,6553750
presence,275750,6567750
presence,275750,6568250
presence,275750,6568750
presence,275750,6574750
presence,275750,6608750
presence,275750,6618750
presence,275750,6620250
presence,275750,6621250
presence,275750,6621750
presence,275750,6622750
presence,276250,6550750
presence,276250,6592750
presence,276250,6601750
presence,276250,6602250
presence,276250,6602750
presence,276750,6552250
presence,276750,6576250
presence,276750,6602250
presence,276750,6622250
presence,277250,6586250
presence,277250,6602750
presence,277750,6594750
presence,277750,6600250
presence,277750,6616750
presence,277750,6617250
presence,277750,6619750
presence,277750,6620250
presence,277750,6622750
presence,277750,6623750
presence,278250,6561750
presence,278250,6601250
presence,278250,6616250
presence,278250,6616750
presence,278250,6617250
presence,278250,6619250
presence,278250,6619750
presence,278250,6620250
presence,278750,6559250
presence,278750,6576250
presence,278750,6577250
presence,278750,6590250
presence,278750,6601250
presence,278750,6616250
presence,278750,6619250
presence,278750,6619750
presence,278750,6620250
presence,279250,6578250
presence,279250,6584750
presence,279250,6595250
presence,279250,6595750
presence,279250,6600750
presence,279750,6563250
presence,279750,6580250
presence,279750,6585250
presence,279750,6598250
presence,279750,6610750
presence,279750,6613750
presence,280250,6563250
presence,280250,6567750
presence,280250,6582250
presence,280250,6602750
presence,280250,6609750
presence,280250,6610250
presence,280250,6613750
presence,280250,6614250
presence,280750,6576250
presence,280750,6606750
presence,280750,6608750
presence,280750,6609250
presence,280750,6609750
presence,280750,6611750
presence,280750,6613750
presence,281250,6570250
presence,281250,6582750
presence,281250,6586750
presence,281250,6597250
presence,281250,6604750
presence,281250,6608750
presence,281250,6614750
presence,281250,6616750
presence,281250,6618750
presence,281750,6583750
presence,281750,6586750
presence,281750,6618750
presence,281750,6621250
presence,282250,6557250
presence,282250,6566750
presence,282250,6583750
presence,282250,6585750
presence,282250,6586750
presence,282250,6591250
presence,282250,6593250
presence,282250,6595750
presence,282250,6605250
presence,282250,6607250
presence,282250,6607750
presence,282250,6614750
presence,282250,6615750
presence,282250,6617250
presence,282750,6566250
presence,282750,6575250
presence,282750,6586250
presence,282750,6586750
presence,282750,6593250
presence,282750,6595750
presence,282750,6605250
presence,282750,6611250
presence,282750,6615750
presence,282750,6617250
presence,282750,6620750
presence,283250,6558750
presence,283250,6575250
presence,283250,6591250
presence,283250,6592750
presence,283250,6595250
presence,283250,6595750
presence,283250,6598250
presence,283250,6599250
presence,283250,6605750
presence,283250,6606750
presence,283250,6614750
presence,283250,6615250
presence,283250,6616750
presence,283250,6617250
presence,283750,6562250
presence,283750,6562750
presence,283750,6565750
presence,283750,6595250
presence,283750,6603250
presence,283750,6605250
presence,283750,6606250
presence,283750,6606750
presence,283750,6607250
presence,283750,6611250
presence,283750,6613250
presence,283750,6616750
presence,283750,6617250
presence,284250,6556750
presence,284250,6565250
presence,284250,6578250
presence,284250,6591250
presence,284250,6591750
presence,284250,6594750
presence,284250,6604750
presence,284250,6609250
presence,284250,6610750
presence,284250,6611750
presence,284250,6612250
presence,284250,6616250
presence,284250,6616750
presence,284750,6565750
presence,284750,6579750
presence,284750,6592750
presence,284750,6593250
presence,284750,6594250
presence,284750,6609750
presence,284750,6610250
presence,284750,6610750
presence,284750,6618750
presence,285250,6581250
presence,285250,6599750
presence,285250,6604750
presence,285250,6605250
presence,285250,6609750
presence,285250,6610250
presence,285250,6610750
presence,285250,6618250
presence,285750,6581250
presence,285750,6595250
presence,285750,6595750
presence,285750,6598750
presence,285750,6599250
presence,285750,6603750
presence,285750,6604750
presence,285750,6611750
presence,286250,6595250
presence,286250,6596750
presence,286250,6598750
presence,286250,6599250
presence,286250,6603750
presence,286250,6604750
presence,286750,6592750
presence,286750,6595750
presence,286750,6596750
presence,286750,6600250
presence,287250,6577750
presence,287250,6595250
presence,287250,6600250
presence,287250,6620750
presence,287750,6576750
presence,287750,6577250
presence,287750,6577750
presence,287750,6595250
presence,287750,6600250
presence,287750,6601750
presence,287750,6604250
presence,287750,6608750
presence,287750,6617750
presence,288250,6591750
presence,288250,6603750
presence,288250,6609250
presence,288250,6612250
presence,288250,6615750
presence,288750,6593250
presence,288750,6594750
presence,288750,6595250
presence,288750,6608750
presence,288750,6609250
presence,288750,6612250
presence,288750,6612750
presence,288750,6613250
presence,288750,6614750
presence,288750,6619750
presence,288750,6620250
presence,288750,6620750
presence,289250,6573250
presence,289250,6594250
presence,289250,6594750
presence,289250,6609250
presence,289250,6612750
presence,289250,6613250
presence,289250,6614750
presence,289250,6615750
presence,289250,6620250
presence,289250,6621250
presence,289250,6625750
presence,289750,6582750
presence,289750,6586750
presence,289750,6608250
presence,289750,6608750
presence,289750,6613250
presence,289750,6614750
presence,289750,6618250
presence,289750,6620250
presence,289750,6627250
presence,289750,6630250
presence,289750,6630750
presence,290250,6561250
presence,290250,6565250
presence,290250,6609750
presence,290750,6574750
presence,290750,6585250
presence,290750,6585750
presence,290750,6594750
presence,290750,6599250
presence,290750,6599750
presence,290750,6601750
presence,290750,6608750
presence,290750,6609250
presence,290750,6610250
presence,291250,6581250
presence,291250,6585750
presence,291250,6586250
presence,291250,6606250
presence,291250,6608750
presence,291250,6609250
presence,291250,6618250
presence,291250,6623750
presence,291250,6626750
presence,291750,6577250
presence,291750,6607750
presence,291750,6608250
presence,291750,6609250
presence,291750,6616250
presence,291750,6623250
presence,292250,6559250
presence,292250,6559750
presence,292250,6574250
presence,292250,6593250
presence,292250,6593750
presence,292250,6607750
presence,292250,6616250
presence,292250,6616750
presence,292750,6578750
presence,292750,6593750
presence,292750,6606750
presence,292750,6609750
presence,292750,6610250
presence,293250,6559250
presence,293250,6583250
presence,293250,6607750
presence,293250,6608750
presence,293250,6616250
presence,293250,6617250
presence,293750,6558250
presence,293750,6616250
presence,293750,6616750
presence,293750,6617250
presence,293750,6625250
presence,294250,6551750
presence,294250,6553750
presence,294250,6572750
presence,294250,6581750
presence,294250,6582250
presence,294250,6582750
presence,294250,6591750
presence,294250,6608250
presence,294250,6616750
presence,294250,6625250
presence,294250,6626250
presence,294250,6628250
presence,294750,6582250
presence,294750,6588750
presence,294750,6597250
presence,294750,6597750
presence,294750,6624750
presence,294750,6626250
presence,294750,6626750
presence,294750,6627750
presence,294750,6628250
presence,295250,6558250
presence,295250,6561750
presence,295250,6597750
presence,295250,6627750
presence,295250,6628250
presence,295750,6558250
presence,295750,6558750
presence,295750,6559250
presence,295750,6608750
presence,296250,6557750
presence,296250,6570250
presence,296250,6573250
presence,296250,6588250
presence,296250,6589750
presence,296250,6602750
presence,296250,6603250
presence,296250,6612750
presence,296750,6545750
presence,296750,6546250
presence,296750,6546750
presence,296750,6558250
presence,296750,6571750
presence,296750,6600250
presence,296750,6602750
presence,296750,6604250
presence,297250,6544250
presence,297250,6545750
presence,297250,6559250
presence,297250,6572750
presence,297250,6573250
presence,297250,6584250
presence,297250,6600250
presence,297750,6585250
presence,297750,6603250
presence,297750,6603750
presence,298250,6571750
presence,298750,6540750
presence,298750,6564750
presence,298750,6616250
presence,299250,6533750
presence,299250,6563750
presence,299250,6571250
presence,299250,6572250
presence,299250,6611250
presence,299250,6611750
presence,299250,6618250
presence,299750,6587250
presence,299750,6608750
presence,299750,6609750
presence,299750,6610250
presence,299750,6610750
presence,299750,6611250
presence,299750,6611750
presence,299750,6612750
presence,299750,6618250
presence,299750,6619750
presence,300250,6532750
presence,300250,6564250
presence,300250,6564750
presence,300250,6565250
presence,300250,6619750
presence,300750,6571750
presence,300750,6606250
presence,300750,6618250
presence,301250,6585250
presence,301250,6603250
presence,301250,6606250
presence,301250,6606750
presence,301750,6564250
presence,301750,6605750
presence,301750,6606250
presence,301750,6606750
presence,301750,6610750
presence,301750,6611250
presence,301750,6617250
presence,302250,6582250
presence,302750,6535750
presence,302750,6561750
presence,302750,6580250
presence,302750,6580750
presence,302750,6605250
presence,303250,6535750
presence,303250,6548250
presence,303250,6561750
presence,303250,6580250
presence,303250,6604250
presence,303250,6604750
presence,303750,6551750
presence,303750,6558750
presence,303750,6562750
presence,303750,6581750
presence,304250,6563750
presence,304250,6580750
presence,304250,6581250
presence,304250,6581750
presence,304250,6582250
presence,304250,6582750
presence,304250,6583250
presence,304750,6568250
presence,304750,6580750
presence,304750,6582250
presence,304750,6583250
presence,304750,6592750
presence,304750,6608250
presence,304750,6608750
presence,304750,6613750
presence,305250,6566250
presence,305250,6570250
presence,305250,6571250
presence,305250,6579250
presence,305250,6580750
presence,305250,6581250
presence,305250,6588250
presence,305250,6606250
presence,305250,6608250
presence,305750,6581250
presence,305750,6585750
presence,305750,6590250
presence,305750,6592750
presence,305750,6593250
presence,305750,6594750
presence,305750,6602250
presence,306250,6544750
presence,306250,6564750
presence,306250,6579750
presence,306250,6584250
presence,306250,6596750
presence,306750,6564750
presence,306750,6569750
presence,306750,6579250
presence,306750,6615750
presence,307250,6536750
presence,307250,6537250
presence,307250,6561750
presence,307250,6578750
presence,307250,6599250
presence,307250,6613750
presence,307250,6615250
presence,307250,6615750
presence,307750,6561250
presence,307750,6579250
presence,307750,6590750
presence,307750,6596250
presence,307750,6598750
presence,307750,6600750
presence,307750,6601250
presence,307750,6610750
presence,307750,6616250
presence,307750,6616750
presence,308250,6561250
presence,308250,6591250
presence,308250,6598750
presence,308250,6613250
presence,308250,6614250
presence,308250,6617250
presence,308750,6551250
presence,308750,6562250
presence,308750,6562750
presence,308750,6571750
presence,308750,6580250
presence,308750,6582750
presence,308750,6583250
presence,308750,6589750
presence,308750,6590750
presence,308750,6612750
presence,309250,6565750
presence,309250,6580750
presence,309250,6582750
presence,309250,6583750
presence,309250,6588250
presence,309250,6590750
presence,309250,6594250
presence,309250,6597750
presence,309250,6598250
presence,309250,6601250
presence,309250,6611250
presence,309750,6565250
presence,309750,6566250
presence,309750,6575250
presence,309750,6575750
presence,309750,6578250
presence,309750,6578750
presence,309750,6589750
presence,309750,6591250
presence,309750,6591750
presence,309750,6593250
presence,309750,6596250
presence,309750,6597250
presence,309750,6598250
presence,309750,6615250
presence,310250,6566250
presence,310250,6589750
presence,310250,6596250
presence,310250,6597250
presence,310250,6597750
presence,310250,6598250
presence,310750,6550750
presence,310750,6572750
presence,310750,6573250
presence,310750,6575250
presence,310750,6576250
presence,310750,6578750
presence,310750,6584750
presence,310750,6588750
presence,310750,6589750
presence,310750,6590250
presence,310750,6592250
presence,310750,6592750
presence,310750,6593750
presence,310750,6596250
presence,310750,6596750
presence,310750,6597250
presence,310750,6598250
presence,310750,6603750
presence,311250,6549750
presence,311250,6589250
presence,311250,6598250
presence,311750,6589250
presence,311750,6589750
presence,311750,6597250
presence,311750,6614250
presence,311750,6614750
presence,311750,6615250
presence,312250,6557250
presence,312250,6563750
presence,312250,6584750
presence,312250,6587750
presence,312250,6590250
presence,312250,6592750
presence,312250,6594250
presence,312250,6594750
presence,312250,6598250
presence,312750,6563250
presence,312750,6581750
presence,312750,6582250
presence,312750,6583750
presence,312750,6584250
presence,312750,6585250
presence,312750,6587750
presence,312750,6592250
presence,312750,6611750
presence,313250,6560250
presence,313250,6567250
presence,313250,6567750
presence,313250,6581750
presence,313250,6582250
presence,313250,6583750
presence,313250,6584250
presence,313250,6587250
presence,313250,6587750
presence,313250,6590250
presence,313750,6560250
presence,313750,6579750
presence,313750,6587250
presence,313750,6587750
presence,313750,6589250
presence,313750,6590250
presence,313750,6590750
presence,313750,6591250
presence,313750,6591750
presence,313750,6598750
presence,313750,6617750
presence,314250,6559250
presence,314250,6559750
presence,314250,6560250
presence,314250,6561250
presence,314250,6563750
presence,314250,6581250
presence,314250,6581750
presence,314250,6582250
presence,314250,6582750
presence,314250,6583750
presence,314250,6585750
presence,314250,6589750
presence,314250,6590250
presence,314250,6592250
presence,314250,6601250
presence,314250,6601750
presence,314250,6622250
presence,314250,6622750
presence,314750,6581750
presence,314750,6582250
presence,314750,6582750
presence,314750,6583750
presence,314750,6584250
presence,314750,6585750
presence,314750,6586250
presence,314750,6586750
presence,314750,6587750
presence,314750,6593750
presence,314750,6595250
presence,314750,6595750
presence,314750,6596750
presence,314750,6597250
presence,314750,6601250
presence,314750,6601750
presence,315250,6573250
presence,315250,6579750
presence,315250,6581750
presence,315250,6582250
presence,315250,6582750
presence,315250,6583250
presence,315250,6583750
presence,315250,6584250
presence,315250,6584750
presence,315250,6590750
presence,315250,6597250
presence,315750,6579250
presence,315750,6579750
presence,315750,6581750
presence,315750,6582750
presence,315750,6583250
presence,315750,6583750
presence,315750,6619250
presence,315750,6626750
presence,316250,6579250
presence,316250,6580250
presence,316250,6582750
presence,316250,6583250
presence,316250,6584250
presence,316250,6594250
presence,316750,6578750
presence,316750,6584250
presence,316750,6626750
presence,317250,6580750
presence,317250,6581750
presence,317250,6585250
presence,317250,6625750
presence,317250,6627250
presence,317750,6580250
presence,318250,6573750
presence,318250,6579250
presence,318250,6580250
presence,318250,6581250
presence,318250,6623250
presence,318250,6626750
presence,318750,6570750
presence,318750,6579250
presence,318750,6579750
presence,318750,6580250
presence,318750,6616750
presence,318750,6630250
presence,319250,6620750
presence,319750,6616250
presence,319750,6619750
presence,319750,6620750
presence,319750,6624250
presence,319750,6630750
presence,319750,6631250
presence,320250,6617750
presence,320250,6618250
presence,320250,6622750
presence,320250,6623250
presence,320250,6626250
presence,320250,6626750
presence,320250,6627250
presence,320750,6625250
presence,320750,6628750
presence,321250,6625250
presence,321250,6626250
presence,321250,6626750
presence,321250,6627750
presence,321250,6628250
presence,321250,6628750
presence,321250,6629250
presence,321250,6629750
presence,321750,6618250
presence,321750,6624250
presence,321750,6624750
presence,321750,6627250
presence,321750,6627750
presence,322250,6624250
presence,322250,6624750
presence,322250,6625250
presence,322750,6617250
presence,322750,6617750
presence,322750,6621750
presence,322750,6624250
presence,323250,6617250
presence,323250,6621750
presence,323250,6622250
presence,323250,6622750
presence,323750,6620750
presence,323750,6622250
presence,324250,6622250
presence,327250,6621750
presence,327750,6621750
